,Column1,pclass,survived,name,sex,age,sibsp,parch,ticket,fare,cabin,embarked,body
0,0,1,1,21,0,29.0,0,0,187,211.3375,43,2,160.8099173553719
1,1,1,1,23,1,0.9167,1,2,49,151.55,79,2,160.8099173553719
2,2,1,0,24,0,2.0,1,2,49,151.55,79,2,160.8099173553719
3,3,1,0,25,1,30.0,1,2,49,151.55,79,2,135.0
4,4,1,0,26,0,25.0,1,2,49,151.55,79,2,160.8099173553719
5,5,1,1,30,1,48.0,0,0,124,26.55,149,2,160.8099173553719
6,6,1,1,45,0,63.0,1,0,92,77.9583,145,2,160.8099173553719
7,7,1,0,46,1,39.0,0,0,15,0.0,15,2,160.8099173553719
8,8,1,1,50,0,53.0,2,0,76,51.4792,61,2,160.8099173553719
9,9,1,0,54,1,71.0,0,0,825,49.5042,186,0,22.0
10,10,1,0,68,1,47.0,1,0,833,227.525,97,0,124.0
11,11,1,1,69,0,18.0,1,0,833,227.525,97,0,160.8099173553719
12,12,1,1,72,0,24.0,0,0,795,69.3,33,0,160.8099173553719
13,13,1,1,92,0,26.0,0,0,118,78.85,186,2,160.8099173553719
14,14,1,1,93,1,80.0,0,0,296,30.0,8,2,160.8099173553719
15,15,1,0,97,1,29.8811345124283,0,0,790,25.925,186,2,160.8099173553719
16,16,1,0,98,1,24.0,0,1,800,247.5208,48,0,160.8099173553719
17,17,1,1,99,0,50.0,0,1,800,247.5208,48,0,160.8099173553719
18,18,1,1,100,0,32.0,0,0,81,76.2917,120,0,160.8099173553719
19,19,1,0,103,1,36.0,0,0,88,75.2417,96,0,160.8099173553719
20,20,1,1,110,1,37.0,1,1,70,52.5542,131,2,160.8099173553719
21,21,1,1,111,0,47.0,1,1,70,52.5542,131,2,160.8099173553719
22,22,1,1,113,1,26.0,0,0,11,30.0,77,0,160.8099173553719
23,23,1,1,120,0,42.0,0,0,833,227.525,186,0,160.8099173553719
24,24,1,1,122,0,29.0,0,0,797,221.7792,115,2,160.8099173553719
25,25,1,0,124,1,25.0,0,0,99,26.0,186,0,148.0
26,26,1,1,125,1,25.0,1,0,82,91.0792,42,0,160.8099173553719
27,27,1,1,126,0,19.0,1,0,82,91.0792,42,0,160.8099173553719
28,28,1,1,127,0,35.0,0,0,836,135.6333,116,2,160.8099173553719
29,29,1,1,129,1,28.0,0,0,5,26.55,92,2,160.8099173553719
30,30,1,0,130,1,45.0,0,0,51,35.5,185,2,160.8099173553719
31,31,1,1,131,1,40.0,0,0,21,31.0,12,0,160.8099173553719
